# These are derived potentials within the Sun from the BP2000 solar
# model. These are calculated by Joakim Edsjo, edsjo@physto.se
# Date: 2003-11-26
#
#R/R_sun        Phi
 0.83717000E+00 -.22769990E+12
 0.83840000E+00 -.22736773E+12
 0.83961000E+00 -.22704187E+12
 0.84082000E+00 -.22671692E+12
 0.84203000E+00 -.22639287E+12
 0.84322000E+00 -.22607505E+12
 0.84441000E+00 -.22575809E+12
 0.84559000E+00 -.22544464E+12
 0.84676000E+00 -.22513468E+12
 0.84792000E+00 -.22482818E+12
 0.84908000E+00 -.22452250E+12
 0.85023000E+00 -.22422024E+12
 0.85137000E+00 -.22392139E+12
 0.85250000E+00 -.22362592E+12
 0.85363000E+00 -.22333121E+12
 0.85474000E+00 -.22304245E+12
 0.85586000E+00 -.22275182E+12
 0.85696000E+00 -.22246710E+12
 0.85805000E+00 -.22218566E+12
 0.85914000E+00 -.22190491E+12
 0.86022000E+00 -.22162742E+12
 0.86130000E+00 -.22135059E+12
 0.86237000E+00 -.22107700E+12
 0.86343000E+00 -.22080661E+12
 0.86448000E+00 -.22053941E+12
 0.86552000E+00 -.22027537E+12
 0.86656000E+00 -.22001194E+12
 0.86759000E+00 -.21975166E+12
 0.86861000E+00 -.21949448E+12
 0.86963000E+00 -.21923790E+12
 0.87064000E+00 -.21898441E+12
 0.87164000E+00 -.21873398E+12
 0.87264000E+00 -.21848412E+12
 0.87363000E+00 -.21823730E+12
 0.87461000E+00 -.21799351E+12
 0.87558000E+00 -.21775273E+12
 0.87655000E+00 -.21751247E+12
 0.87751000E+00 -.21727520E+12
 0.87846000E+00 -.21704089E+12
 0.87941000E+00 -.21680708E+12
 0.88035000E+00 -.21657621E+12
 0.88129000E+00 -.21634582E+12
 0.88221000E+00 -.21612080E+12
 0.88313000E+00 -.21589623E+12
 0.88405000E+00 -.21567212E+12
 0.88496000E+00 -.21545089E+12
 0.88586000E+00 -.21523253E+12
 0.88675000E+00 -.21501702E+12
 0.88764000E+00 -.21480194E+12
 0.88852000E+00 -.21458968E+12
 0.88940000E+00 -.21437784E+12
 0.89026000E+00 -.21417120E+12
 0.89113000E+00 -.21396256E+12
 0.89198000E+00 -.21375910E+12
 0.89283000E+00 -.21355601E+12
 0.89368000E+00 -.21335331E+12
 0.89451000E+00 -.21315574E+12
 0.89534000E+00 -.21295852E+12
 0.89617000E+00 -.21276166E+12
 0.89699000E+00 -.21256753E+12
 0.89780000E+00 -.21237610E+12
 0.89861000E+00 -.21218501E+12
 0.89941000E+00 -.21199659E+12
 0.90020000E+00 -.21181086E+12
 0.90099000E+00 -.21162545E+12
 0.90178000E+00 -.21144035E+12
 0.90255000E+00 -.21126025E+12
 0.90332000E+00 -.21108044E+12
 0.90409000E+00 -.21090094E+12
 0.90485000E+00 -.21072407E+12
 0.90560000E+00 -.21054981E+12
 0.90635000E+00 -.21037583E+12
 0.90709000E+00 -.21020445E+12
 0.90783000E+00 -.21003334E+12
 0.90856000E+00 -.20986481E+12
 0.90929000E+00 -.20969655E+12
 0.91001000E+00 -.20953085E+12
 0.91072000E+00 -.20936771E+12
 0.91143000E+00 -.20920482E+12
 0.91214000E+00 -.20904218E+12
 0.91283000E+00 -.20888436E+12
 0.91353000E+00 -.20872449E+12
 0.91421000E+00 -.20856942E+12
 0.91490000E+00 -.20841230E+12
 0.91557000E+00 -.20825996E+12
 0.91625000E+00 -.20810556E+12
 0.91691000E+00 -.20795593E+12
 0.91757000E+00 -.20780651E+12
 0.91823000E+00 -.20765730E+12
 0.91888000E+00 -.20751055E+12
 0.91953000E+00 -.20736401E+12
 0.92017000E+00 -.20721993E+12
 0.92080000E+00 -.20707829E+12
 0.92143000E+00 -.20693684E+12
 0.92206000E+00 -.20679558E+12
 0.92268000E+00 -.20665675E+12
 0.92330000E+00 -.20651810E+12
 0.92391000E+00 -.20638187E+12
 0.92452000E+00 -.20624582E+12
 0.92512000E+00 -.20611217E+12
 0.92572000E+00 -.20597869E+12
 0.92631000E+00 -.20584760E+12
 0.92690000E+00 -.20571668E+12
 0.92748000E+00 -.20558813E+12
 0.92806000E+00 -.20545975E+12
 0.92863000E+00 -.20533373E+12
 0.92920000E+00 -.20520786E+12
 0.92976000E+00 -.20508436E+12
 0.93032000E+00 -.20496100E+12
 0.93088000E+00 -.20483778E+12
 0.93143000E+00 -.20471691E+12
 0.93198000E+00 -.20459618E+12
 0.93252000E+00 -.20447776E+12
 0.93306000E+00 -.20435948E+12
 0.93359000E+00 -.20424352E+12
 0.93412000E+00 -.20412770E+12
 0.93464000E+00 -.20401418E+12
 0.93517000E+00 -.20389861E+12
 0.93568000E+00 -.20378753E+12
 0.93619000E+00 -.20367656E+12
 0.93670000E+00 -.20356572E+12
 0.93721000E+00 -.20345499E+12
 0.93771000E+00 -.20334656E+12
 0.93820000E+00 -.20324040E+12
 0.93870000E+00 -.20313219E+12
 0.93918000E+00 -.20302842E+12
 0.93967000E+00 -.20292259E+12
 0.94015000E+00 -.20281903E+12
 0.94062000E+00 -.20271773E+12
 0.94110000E+00 -.20261438E+12
 0.94156000E+00 -.20251543E+12
 0.94203000E+00 -.20241443E+12
 0.94249000E+00 -.20231568E+12
 0.94295000E+00 -.20221702E+12
 0.94340000E+00 -.20212060E+12
 0.94385000E+00 -.20202427E+12
 0.94429000E+00 -.20193017E+12
 0.94474000E+00 -.20183402E+12
 0.94518000E+00 -.20174010E+12
 0.94561000E+00 -.20164839E+12
 0.94604000E+00 -.20155677E+12
 0.94647000E+00 -.20146523E+12
 0.94689000E+00 -.20137590E+12
 0.94731000E+00 -.20128665E+12
 0.94773000E+00 -.20119748E+12
 0.94814000E+00 -.20111050E+12
 0.94855000E+00 -.20102360E+12
 0.94896000E+00 -.20093678E+12
 0.94904000E+00 -.20091985E+12
 0.10000000E+01 -.19068241E+12
